Graph,Model,Loss Function,n_negative,Learning Rate,lambda,n2v_p,n2v_q,time,Duration,Steps,Loss/positive_loss,Loss/positive_loss max,Loss/negative_loss,Loss/negative_loss max,Loss/total_loss,Loss/total_loss max,Loss/dimension_regularization,Loss/dimension_regularization max,GPU_usage/memory__bytes_,GPU_usage/memory__bytes_ max,classifier/metrics/valid/AUC_ROC,classifier/metrics/valid/AUC_ROC max,classifier/metrics/valid/MRR,classifier/metrics/valid/MRR max,classifier/metrics/valid/Hits_1,classifier/metrics/valid/Hits_1 max,classifier/metrics/valid/Hits_20,classifier/metrics/valid/Hits_20 max,classifier/metrics/valid/Hits_50,classifier/metrics/valid/Hits_50 max,classifier/metrics/valid/Hits_100,classifier/metrics/valid/Hits_100 max,classifier/metrics/test/AUC_ROC,classifier/metrics/test/AUC_ROC max,classifier/metrics/test/MRR,classifier/metrics/test/MRR max,classifier/metrics/test/Hits_1,classifier/metrics/test/Hits_1 max,classifier/metrics/test/Hits_20,classifier/metrics/test/Hits_20 max,classifier/metrics/test/Hits_50,classifier/metrics/test/Hits_50 max,classifier/metrics/test/Hits_100,classifier/metrics/test/Hits_100 max,Loss/classifier_loss,Loss/classifier_loss max,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC max,metrics/valid/MRR,metrics/valid/MRR max,metrics/valid/Hits_1,metrics/valid/Hits_1 max,metrics/valid/Hits_20,metrics/valid/Hits_20 max,metrics/valid/Hits_50,metrics/valid/Hits_50 max,metrics/valid/Hits_100,metrics/valid/Hits_100 max,metrics/test/AUC_ROC,metrics/test/AUC_ROC max,metrics/test/MRR,metrics/test/MRR max,metrics/test/Hits_1,metrics/test/Hits_1 max,metrics/test/Hits_20,metrics/test/Hits_20 max,metrics/test/Hits_50,metrics/test/Hits_50 max,metrics/test/Hits_100,metrics/test/Hits_100 max
CiteSeer,line,sg,-1,0.1,0.0,-1.0,-1.0,02-07-12h28m,2.8076090812683105,1139,-0.0,777.4027,1985.759033203125,2211.4126,1985.759033203125,2318.6887,0.0,0.0000,17705984.0,17705984.0000,0.8467031121253967,0.8467,0.10331115871667862,0.1033,0.0,0.0044,0.03186813369393349,0.0319,0.05494505912065506,0.0560,0.07252747565507889,0.0758,0.6037890315055847,0.6038,0.03109760582447052,0.0334,0.001098901149816811,0.0011,0.017032967880368233,0.0231,0.02747252956032753,0.0379,0.03241758421063423,0.0473,1.0321356058120728,1.5409,0.8628212213516235,0.8628,0.1130656898021698,0.1131,0.0,0.0000,0.02967033162713051,0.0297,0.03846153989434242,0.0385,0.05824176222085953,0.0582,0.6127957105636597,0.6128,0.035574737936258316,0.0356,0.0,0.0000,0.013736264780163765,0.0137,0.024725275114178658,0.0247,0.03186813369393349,0.0319
CiteSeer,line,sg_aug,100,0.1,1.0,-1.0,-1.0,02-07-12h29m,2.3432776927948,1139,-0.0,616.1503,0.0,0.0000,0.0,616.1503,125182.1875,211407.7656,17301504.0,17301504.0000,0.9694725871086121,0.9695,0.33665430545806885,0.3367,0.002197802299633622,0.0143,0.0912087932229042,0.0912,0.14945055544376373,0.1495,0.2329670488834381,0.2330,0.60052490234375,0.6005,0.03968627750873566,0.0397,0.0,0.0016,0.003296703565865755,0.0110,0.01318681426346302,0.0209,0.019780220463871956,0.0297,0.5952392220497131,1.3998,0.9778525233268738,0.9779,0.3532651364803314,0.3533,0.001098901149816811,0.0011,0.0813186839222908,0.0813,0.13736264407634735,0.1374,0.1945054978132248,0.1945,0.6201240420341492,0.6201,0.03978292644023895,0.0398,0.0,0.0000,0.003296703565865755,0.0033,0.008241758681833744,0.0082,0.015934066846966743,0.0159
CiteSeer,n2v,sg,-1,0.1,0.0,1.0,0.5,02-07-12h29m,54.06975507736206,519,40183.7265625,3089190.7500,705139.9375,5503784.0000,745323.6875,8592975.0000,0.0,0.0000,11371151360.0,11371151360.0000,0.9967122673988342,0.9978,0.46819621324539185,0.4682,0.0,0.0000,0.035164836794137955,0.0352,0.10109890252351761,0.1011,0.19780220091342926,0.1978,0.6661681532859802,0.7078,0.14288270473480225,0.1429,0.0,0.0000,0.01318681426346302,0.0132,0.030219782143831253,0.0302,0.07197802513837814,0.0720,0.21811577677726746,1.3862,0.9968929886817932,0.9969,0.5115495920181274,0.5115,0.004395604599267244,0.0044,0.05494505912065506,0.0549,0.12087912857532501,0.1209,0.26813188195228577,0.2681,0.6762186288833618,0.6762,0.15304966270923615,0.1530,0.0,0.0000,0.019780220463871956,0.0198,0.05109890177845955,0.0511,0.09780219942331314,0.0978
CiteSeer,n2v,sg_aug,10,0.1,10.0,1.0,0.5,02-07-12h30m,24.36480474472046,519,27.107532501220703,3089190.7500,0.0,0.0000,27.107532501220703,3089190.7500,3.0601558685302734,15791.5625,2085969408.0,2085969408.0000,0.983186662197113,0.9832,0.20729020237922668,0.2160,0.001098901149816811,0.0022,0.018681319430470467,0.0187,0.03956044092774391,0.0451,0.09560439735651016,0.0956,0.7995297908782959,0.7995,0.07748953253030777,0.0775,0.0,0.0011,0.013736264780163765,0.0148,0.026923079043626785,0.0297,0.04175824299454689,0.0478,0.40098336338996887,1.3881,0.9794515371322632,0.9795,0.23309072852134705,0.2331,0.001098901149816811,0.0011,0.019780220463871956,0.0198,0.05934066325426102,0.0593,0.11428572237491608,0.1143,0.794866681098938,0.7949,0.08610023558139801,0.0861,0.0005494505749084055,0.0005,0.007692308165132999,0.0077,0.02362637408077717,0.0236,0.04780219867825508,0.0478
Cora,line,sg,-1,0.1,0.0,-1.0,-1.0,02-07-12h26m,3.249244451522827,1319,39.66175079345703,703.3054,1885.9051513671875,2172.5142,1925.56689453125,2321.4048,0.0,0.0000,16117248.0,16117248.0000,0.788957953453064,0.7890,0.08599744737148285,0.0860,0.002846299670636654,0.0028,0.012333965860307217,0.0152,0.03036053106188774,0.0304,0.03889942914247513,0.0389,0.5878835916519165,0.5951,0.027650531381368637,0.0277,0.0,0.0000,0.0014218009309843183,0.0014,0.005687203723937273,0.0057,0.00995260663330555,0.0100,1.2628073692321777,1.5345,0.7792640328407288,0.7793,0.08924069255590439,0.0892,0.0,0.0000,0.016129031777381897,0.0161,0.03415559604763985,0.0342,0.05882352963089943,0.0588,0.600372314453125,0.6004,0.029725639149546623,0.0297,0.0,0.0000,0.0004739336436614394,0.0005,0.008056871592998505,0.0081,0.011374407447874546,0.0114
Cora,line,sg_aug,100,0.1,1.0,-1.0,-1.0,02-07-12h26m,2.7468621730804443,1319,1.1920930376163597e-07,665.3881,0.0,0.0000,1.1920930376163597e-07,665.3881,64525.29296875,170714.1250,15712768.0,15712768.0000,0.9653576612472534,0.9654,0.29840049147605896,0.2984,0.0,0.0095,0.10056925565004349,0.1006,0.16129031777381897,0.1613,0.22106261551380157,0.2211,0.6597256660461426,0.6597,0.035360269248485565,0.0354,0.0,0.0009,0.002369668334722519,0.0028,0.008056871592998505,0.0081,0.012322274968028069,0.0123,0.5503355860710144,1.4630,0.9675344824790955,0.9675,0.2958602011203766,0.2959,0.0018975331913679838,0.0019,0.06356736272573471,0.0636,0.12903225421905518,0.1290,0.2286527454853058,0.2287,0.657379150390625,0.6574,0.04004789888858795,0.0400,0.0,0.0000,0.0018957345746457577,0.0019,0.006635070778429508,0.0066,0.014218009077012539,0.0142
Cora,n2v,sg,-1,0.01,0.0,1.0,1.0,02-07-12h27m,45.393808364868164,439,27628.603515625,3905797.2500,124569.375,5467988.0000,152197.984375,9331398.0000,0.0,0.0000,11369879552.0,11369879552.0000,0.9891355037689209,0.9900,0.37810516357421875,0.3781,0.0180265661329031,0.0180,0.021821631118655205,0.0370,0.03415559604763985,0.0436,0.08254269510507584,0.1157,0.8534485697746277,0.8549,0.14113715291023254,0.1411,0.0014218009309843183,0.0014,0.012322274968028069,0.0190,0.015165876597166061,0.0242,0.028436018154025078,0.0408,0.19882982969284058,1.3903,0.9869815111160278,0.9870,0.38368794322013855,0.3837,0.0,0.0000,0.013282732106745243,0.0133,0.037001896649599075,0.0370,0.11005692183971405,0.1101,0.8448457717895508,0.8448,0.13405361771583557,0.1341,0.0,0.0000,0.006161137484014034,0.0062,0.00995260663330555,0.0100,0.021800948306918144,0.0218
Cora,n2v,sg_aug,5,0.01,100.0,1.0,1.0,02-07-12h28m,21.454322814941406,439,9536.0205078125,3901580.5000,0.0,0.0000,9536.0205078125,3901580.5000,1060.864013671875,6914.7061,2084697600.0,2084697600.0000,0.9757058024406433,0.9757,0.2097828984260559,0.2098,0.0,0.0000,0.0,0.0000,0.013282732106745243,0.0133,0.026565464213490486,0.0266,0.852916419506073,0.8529,0.08605868369340897,0.0861,0.0,0.0000,0.0,0.0005,0.0,0.0005,0.009478673338890076,0.0095,0.5392010807991028,1.3923,0.9755287170410156,0.9755,0.20997938513755798,0.2100,0.0,0.0000,0.0,0.0000,0.0066413660533726215,0.0066,0.02561669796705246,0.0256,0.8544692993164062,0.8545,0.08110372722148895,0.0811,0.0,0.0000,0.0,0.0000,0.0,0.0000,0.00995260663330555,0.0100
PubMed,line,sg,-1,0.1,0.0,-1.0,-1.0,02-07-12h31m,28.902214288711548,11099,-0.0,1535.9385,103.6163330078125,2454.5161,103.6163330078125,3144.1255,0.0,0.0000,59796480.0,59796480.0000,0.869102954864502,0.8691,0.14150533080101013,0.1415,0.007784295827150345,0.0078,0.0339575819671154,0.0340,0.058325812220573425,0.0583,0.08709385991096497,0.0871,0.6886335611343384,0.6886,0.05507225915789604,0.0569,0.0007897111936472356,0.0016,0.008179151453077793,0.0204,0.016132671386003494,0.0244,0.030460288748145103,0.0398,0.3963916301727295,2.3061,0.877238929271698,0.8772,0.14635537564754486,0.1464,0.0010153430048376322,0.0010,0.029557760804891586,0.0296,0.06588447839021683,0.0659,0.09363718330860138,0.0936,0.6882556676864624,0.6883,0.057395465672016144,0.0574,0.0008461191318929195,0.0008,0.006374097429215908,0.0064,0.01788131706416607,0.0179,0.029332129284739494,0.0293
PubMed,line,sg_aug,100,0.1,0.1,-1.0,-1.0,02-07-12h32m,24.291247129440308,11099,-0.0,954.9418,0.0,0.0000,0.0,954.9418,614586.1875,690332.2500,59392000.0,59392000.0000,0.9461343884468079,0.9461,0.38546839356422424,0.3855,0.0,0.0102,0.1923510879278183,0.1924,0.2946750819683075,0.2947,0.3743230998516083,0.3743,0.7079528570175171,0.7080,0.07275877892971039,0.0728,0.0,0.0045,0.021265793591737747,0.0213,0.04123420640826225,0.0442,0.061823103576898575,0.0664,0.38350236415863037,1.7280,0.9514327645301819,0.9514,0.3943205177783966,0.3943,0.014101985841989517,0.0141,0.21942690014839172,0.2194,0.3303249180316925,0.3303,0.38278430700302124,0.3828,0.7174467444419861,0.7174,0.07397342473268509,0.0740,0.003553700400516391,0.0036,0.022337544709444046,0.0223,0.04444945976138115,0.0444,0.0678587555885315,0.0679
PubMed,n2v,sg,-1,0.01,0.0,0.25,0.5,02-07-12h33m,297.62074875831604,3099,6561.7919921875,3891198.2500,30092.099609375,5477475.5000,36653.890625,9295853.0000,0.0,0.0000,11404851200.0,11404851200.0000,0.9996464252471924,0.9996,0.7189001441001892,0.7189,0.0819043293595314,0.0819,0.3448781669139862,0.3449,0.6086416840553284,0.6086,0.7181859016418457,0.7701,0.7564603686332703,0.7572,0.2322337031364441,0.2322,0.012240523472428322,0.0122,0.04236236587166786,0.0682,0.13836868107318878,0.1384,0.20289936661720276,0.2068,0.0040065813809633255,1.3868,0.9996951222419739,0.9997,0.7226001620292664,0.7226,0.0037229242734611034,0.0037,0.4068140685558319,0.4068,0.6599729061126709,0.6600,0.838334858417511,0.8383,0.7568227648735046,0.7568,0.23214203119277954,0.2321,0.0037793321534991264,0.0038,0.05302346497774124,0.0530,0.10943140834569931,0.1094,0.21722698211669922,0.2172
PubMed,n2v,sg_aug,100,0.01,100.0,0.25,0.5,02-07-12h38m,117.92973065376282,3099,724.2188720703125,3901091.5000,0.0,0.0000,724.2188720703125,3901091.5000,23488.046875,141298.0938,2119668224.0,2119668224.0000,0.9963676333427429,0.9964,0.5068216323852539,0.5068,0.0004512635350693017,0.0081,0.06114620715379715,0.0611,0.19641245901584625,0.1964,0.367441326379776,0.3674,0.8466501832008362,0.8496,0.16684158146381378,0.1668,0.0012973826378583908,0.0013,0.013425090350210667,0.0173,0.04337770864367485,0.0457,0.08410423994064331,0.1031,0.6160413026809692,1.3882,0.9967740774154663,0.9968,0.5082001686096191,0.5082,0.0006768953171558678,0.0007,0.13165614008903503,0.1317,0.26365071535110474,0.2637,0.4230595529079437,0.4231,0.8437596559524536,0.8438,0.1695408970117569,0.1695,0.0003384476585779339,0.0003,0.025778429582715034,0.0258,0.04822878912091255,0.0482,0.10802120715379715,0.1080
ogbl-citation2,line,sg,-1,0.01,0.0,-1.0,-1.0,02-07-12h27m,2920.518085718155,44642,325.0220642089844,11218.4834,3078.19140625,19076.5625,3403.21337890625,25116.2031,0.0,0.0000,8031933952.0,8031933952.0000,0.8449897170066833,0.8450,0.13370171189308167,0.1337,0.0023788628168404102,0.0039,0.03474756330251694,0.0347,0.05743914470076561,0.0597,0.08182825893163681,0.0818,0.6661621928215027,0.6695,0.06646888703107834,0.0665,0.00025405330234207213,0.0017,0.01806088164448738,0.0181,0.026086656376719475,0.0261,0.04479421675205231,0.0448,1.0436618328094482,1.7540,0.8437251448631287,0.8437,0.13447892665863037,0.1345,0.0004619151004590094,0.0005,0.033280983567237854,0.0333,0.049344081431627274,0.0493,0.0764354020357132,0.0764,0.667993426322937,0.6680,0.06813619285821915,0.0681,0.0015243198722600937,0.0015,0.018776848912239075,0.0188,0.027530141174793243,0.0275,0.03912420943379402,0.0391
ogbl-citation2,line,sg_aug,5,0.01,100.0,-1.0,-1.0,02-07-13h23m,2851.412536382675,44642,191.1199493408203,10213.3965,0.0,0.0000,191.1199493408203,10213.3965,696.2874755859375,77790.2422,8019209728.0,8019209728.0000,0.6826579570770264,0.6827,0.02436242438852787,0.0244,0.0018592083360999823,0.0019,0.0038800870534032583,0.0039,0.0065822903998196125,0.0066,0.009942722506821156,0.0099,0.5753653049468994,0.5754,0.019472358748316765,0.0195,0.001755277393385768,0.0018,0.004238071385771036,0.0042,0.005496789701282978,0.0055,0.008603168651461601,0.0086,1.2877392768859863,1.3952,0.6798478364944458,0.6798,0.0249750018119812,0.0250,0.0014203889295458794,0.0014,0.005415954627096653,0.0054,0.0075061204843223095,0.0075,0.009908079169690609,0.0099,0.5771141052246094,0.5771,0.020363524556159973,0.0204,0.0013395538553595543,0.0013,0.004457480739802122,0.0045,0.007217423524707556,0.0072,0.00897270068526268,0.0090
ogbl-citation2,n2v,sg,-1,0.01,0.0,0.25,2.0,02-07-14h18m,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ogbl-citation2,n2v,sg_aug,5,0.01,0.1,0.25,2.0,02-07-14h19m,2043.9438128471375,4289,80264.34375,13040727.0000,0.0,0.0000,80264.34375,13040727.0000,58891.51953125,92294.8984,23486461952.0,23486461952.0000,0.9521121978759766,0.9521,0.16268251836299896,0.1627,0.0,0.0000,0.011490138247609138,0.0180,0.030474849045276642,0.0407,0.07403344660997391,0.0740,0.9431567192077637,0.9432,0.15225183963775635,0.1523,0.0,0.0000,0.010947388596832752,0.0198,0.03137558326125145,0.0335,0.06590373814105988,0.0696,0.6103430986404419,1.3997,0.9531044960021973,0.9531,0.16254070401191711,0.1625,0.0004619151004590094,0.0005,0.022425979375839233,0.0224,0.048812881112098694,0.0488,0.0659845769405365,0.0660,0.942810595035553,0.9428,0.1529596745967865,0.1530,0.0,0.0000,0.021132616326212883,0.0211,0.04900919273495674,0.0490,0.06717400252819061,0.0672
ogbl-collab,line,sg,-1,0.1,0.0,-1.0,-1.0,02-07-12h41m,45.50118827819824,6054,345.6642150878906,15348.9707,1503.673095703125,17857.3203,1849.3372802734375,30443.0820,0.0,0.0000,642863104.0,642863104.0000,0.8409428000450134,0.8409,0.24833357334136963,0.2483,0.0,0.0119,0.11711936444044113,0.1196,0.15197056531906128,0.1558,0.18866918981075287,0.1887,0.7074140310287476,0.7074,0.12179785221815109,0.1218,0.0,0.0031,0.047702301293611526,0.0482,0.0643441453576088,0.0663,0.08262643218040466,0.0826,0.9934030771255493,2.4543,0.8432225584983826,0.8432,0.25142353773117065,0.2514,0.0,0.0000,0.1209806278347969,0.1210,0.16004259884357452,0.1600,0.18873576819896698,0.1887,0.7079848647117615,0.7080,0.1234339028596878,0.1234,0.0,0.0000,0.05128537118434906,0.0513,0.06995618343353271,0.0700,0.0851086750626564,0.0851
ogbl-collab,line,sg_aug,10,0.1,1.0,-1.0,-1.0,02-07-12h43m,37.49673628807068,6054,138.15512084960938,9479.2227,0.0,0.0000,138.15512084960938,9479.2227,7325.02197265625,2568485.5000,636499968.0,636499968.0000,0.933732807636261,0.9337,0.45334187150001526,0.4533,0.0,0.0001,0.3047400116920471,0.3164,0.38769054412841797,0.3877,0.4323447048664093,0.4323,0.77381432056427,0.7738,0.23228919506072998,0.2323,0.0,0.0001,0.1282997727394104,0.1357,0.1755272001028061,0.1755,0.20417016744613647,0.2042,0.8335099220275879,1.5385,0.9347797632217407,0.9348,0.4562055170536041,0.4562,0.0,0.0000,0.3204513490200043,0.3205,0.38221490383148193,0.3822,0.4236069321632385,0.4236,0.7789936065673828,0.7790,0.23385955393314362,0.2339,0.0,0.0000,0.1394374966621399,0.1394,0.17539769411087036,0.1754,0.20002590119838715,0.2000
ogbl-collab,n2v,sg,-1,0.1,0.0,4.0,4.0,02-07-12h44m,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ogbl-collab,n2v,sg_aug,10,0.1,100.0,4.0,4.0,02-07-12h45m,231.3712158203125,1154,26598.162109375,17937938.0000,0.0,0.0000,26598.162109375,17937938.0000,536.518310546875,799553.5000,8998920192.0,8998920192.0000,0.9967221617698669,0.9967,0.6598094701766968,0.6598,0.0009320284589193761,0.0036,0.050396110862493515,0.0511,0.20145130157470703,0.2015,0.39103588461875916,0.3910,0.9640283584594727,0.9640,0.42342039942741394,0.4234,0.0008418053621426225,0.0027,0.03168641775846481,0.0323,0.11416175216436386,0.1142,0.21971119940280914,0.2197,0.20667444169521332,1.3967,0.9966850876808167,0.9967,0.6683121919631958,0.6683,0.0,0.0000,0.07829039543867111,0.0783,0.29789960384368896,0.2979,0.4544970393180847,0.4545,0.9624612927436829,0.9625,0.4314529597759247,0.4315,0.0,0.0000,0.04940749704837799,0.0494,0.16613784432411194,0.1661,0.26309654116630554,0.2631
ogbl-ppa,line,sg,-1,0.01,0.0,-1.0,-1.0,02-07-12h26m,990.8578932285309,66639,102.93589782714844,9829.5107,1204.9603271484375,11496.2646,1307.896240234375,20770.5234,0.0,0.0000,2084692480.0,2084692480.0000,0.943290114402771,0.9433,,,6.185504025779665e-05,0.0002,0.0009971031686291099,0.0029,0.0025738293770700693,0.0070,0.005381223279982805,0.0143,0.9238241910934448,0.9238,,,1.7811318684834987e-05,0.0005,0.0007131124148145318,0.0032,0.002252801787108183,0.0078,0.0048169721849262714,0.0139,0.5243576169013977,1.3747,0.9437817931175232,0.9438,,,7.521572842961177e-05,0.0001,0.0008123628213070333,0.0008,0.002938856603577733,0.0029,0.005220895167440176,0.0052,0.924645721912384,0.9246,,,6.167993706185371e-05,0.0001,0.0008836392662487924,0.0009,0.0029840555507689714,0.0030,0.005468734540045261,0.0055
ogbl-ppa,line,sg_aug,5,0.01,100.0,-1.0,-1.0,02-07-13h13m,925.6165492534637,66639,17.329105377197266,10080.9531,0.0,0.0000,17.329105377197266,10080.9531,377.1457824707031,11167.4385,2071968256.0,2071968256.0000,0.8155344724655151,0.8155,,,0.007876703515648842,0.0105,0.026537790894508362,0.0296,0.048946965485811234,0.0489,0.06194905936717987,0.0624,0.7596983313560486,0.7597,,,0.0016630493337288499,0.0087,0.03279690444469452,0.0328,0.0499841645359993,0.0500,0.06231025606393814,0.0641,0.988678514957428,1.3848,0.8167869448661804,0.8168,,,0.008664323948323727,0.0087,0.029393348842859268,0.0294,0.044481854885816574,0.0445,0.06374698132276535,0.0637,0.7607876062393188,0.7608,,,0.0010604331037029624,0.0011,0.03458892181515694,0.0346,0.04772806540131569,0.0477,0.0650353878736496,0.0650
ogbl-ppa,n2v,sg,-1,0.01,0.0,2.0,4.0,02-07-13h59m,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ogbl-ppa,n2v,sg_aug,100,0.01,100.0,2.0,4.0,02-07-14h00m,1654.0186817646027,1409,411699.25,37170524.0000,0.0,0.0000,411699.25,37170524.0000,841044.9375,3505867.5000,18743277568.0,18743277568.0000,0.981241762638092,0.9812,,,0.0012940074084326625,0.0044,0.020720448344945908,0.0450,0.049213849008083344,0.0761,0.0779152438044548,0.1110,0.9784157872200012,0.9784,,,0.00011577356781344861,0.0004,0.029888711869716644,0.0393,0.058739420026540756,0.0728,0.09225834161043167,0.1070,0.29729142785072327,1.3647,0.9814993739128113,0.9815,,,0.0012978011509403586,0.0013,0.019292669370770454,0.0193,0.04057294502854347,0.0406,0.07735459506511688,0.0774,0.9787190556526184,0.9787,,,0.0,0.0000,0.027930784970521927,0.0279,0.053409215062856674,0.0534,0.08831477910280228,0.0883
ogbl-vessel,line,sg,-1,0.01,0.0,-1.0,-1.0,02-07-12h28m,553.0963551998138,7049,32.00885772705078,10703.0693,3400.397705078125,13393.5596,3432.406494140625,22872.7617,0.0,0.0000,9203503104.0,9203503104.0000,0.8563383221626282,0.8563,0.14324915409088135,0.1432,0.0016648303717374802,0.0017,0.011000975035130978,0.0110,0.01796894520521164,0.0180,0.027858786284923553,0.0279,0.4984041154384613,0.5026,0.007662196643650532,0.0077,3.741191903827712e-06,0.0000,5.237668665358797e-05,0.0001,8.230622188420966e-05,0.0001,0.0001870596024673432,0.0002,0.97237229347229,1.3870,0.856176495552063,0.8562,0.14343774318695068,0.1434,0.0011971814092248678,0.0012,0.010608149692416191,0.0106,0.018309393897652626,0.0183,0.02595451846718788,0.0260,0.4982832074165344,0.4983,0.007653659675270319,0.0077,0.0,0.0000,3.1800133001524955e-05,0.0000,0.00010288277553627267,0.0001,0.00018893019296228886,0.0002
ogbl-vessel,line,sg_aug,5,0.01,1.0,-1.0,-1.0,02-07-12h45m,540.4888932704926,7049,0.01570386253297329,10499.3643,0.0,0.0000,0.01570386253297329,10499.3643,2095.32080078125,174007.3438,9190778880.0,9190778880.0000,0.8817529678344727,0.8818,0.2678043246269226,0.2678,7.295324030565098e-05,0.0014,0.028193622827529907,0.0314,0.04933135583996773,0.0519,0.07182714343070984,0.0770,0.502225935459137,0.5039,0.007578504271805286,0.0076,7.482383807655424e-06,0.0000,2.4317747374880128e-05,0.0000,6.734145426889881e-05,0.0001,0.00014777708565816283,0.0002,0.8354935646057129,1.3874,0.8818798065185547,0.8819,0.2686467468738556,0.2686,0.0009727099095471203,0.0010,0.02407269924879074,0.0241,0.049928076565265656,0.0499,0.07564502954483032,0.0756,0.5033007860183716,0.5033,0.007599628996104002,0.0076,0.0,0.0000,2.244715142296627e-05,0.0000,6.360026600304991e-05,0.0001,0.00014964767615310848,0.0001
ogbl-vessel,n2v,sg,-1,0.01,0.0,0.5,0.25,02-07-13h02m,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ogbl-vessel,n2v,sg_aug,5,0.01,1.0,0.5,0.25,02-07-13h02m,2103.2781281471252,5183,7850.1005859375,34548764.0000,0.0,0.0000,7850.1005859375,34548764.0000,0.015616754069924355,62109.6406,24345438208.0,24345438208.0000,0.9777431488037109,0.9777,0.44237637519836426,0.4424,0.0,0.0000,0.00048635495477356017,0.0006,0.000776297296397388,0.0009,0.001129839918576181,0.0013,0.8785976767539978,0.8786,0.19046223163604736,0.1905,0.0,0.0000,7.482383807655424e-05,0.0001,0.00012158873869339004,0.0002,0.0001870596024673432,0.0003,0.39331167936325073,1.3865,0.9781152606010437,0.9781,0.44559746980667114,0.4456,0.0,0.0000,0.00046016660053282976,0.0005,0.000641614431515336,0.0006,0.0010924279922619462,0.0011,0.8795815706253052,0.8796,0.19201189279556274,0.1920,0.0,0.0000,5.985907046124339e-05,0.0001,0.00011784754315158352,0.0001,0.00017209482030011714,0.0002
