Graph,Model,Loss Function,n_negative,Learning Rate,lambda,n2v_p,n2v_q,time,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,classifier/metrics/valid/AUC_ROC,classifier/metrics/valid/AUC_ROC max,classifier/metrics/valid/AUC_ROC max epoch,classifier/metrics/valid/MRR,classifier/metrics/valid/MRR max,classifier/metrics/valid/MRR max epoch,classifier/metrics/valid/Hits_50,classifier/metrics/valid/Hits_50 max,classifier/metrics/valid/Hits_50 max epoch,classifier/metrics/test/AUC_ROC,classifier/metrics/test/AUC_ROC max,classifier/metrics/test/AUC_ROC max epoch,classifier/metrics/test/MRR,classifier/metrics/test/MRR max,classifier/metrics/test/MRR max epoch,classifier/metrics/test/Hits_50,classifier/metrics/test/Hits_50 max,classifier/metrics/test/Hits_50 max epoch,Loss/classifier_loss,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC max,metrics/valid/AUC_ROC max epoch,metrics/valid/MRR,metrics/valid/MRR max,metrics/valid/MRR max epoch,metrics/valid/Hits_50,metrics/valid/Hits_50 max,metrics/valid/Hits_50 max epoch,metrics/test/AUC_ROC,metrics/test/AUC_ROC max,metrics/test/AUC_ROC max epoch,metrics/test/MRR,metrics/test/MRR max,metrics/test/MRR max epoch,metrics/test/Hits_50,metrics/test/Hits_50 max,metrics/test/Hits_50 max epoch
CiteSeer,n2v,sg,10,0.1,1.0,0.25,0.25,01-24-18h59m,37.59294390678406,519,36152.78125,748002.5,784155.25,51.3128776550293,0.9916748404502869,0.9971,3,0.3611437678337097,0.4690,3,0.0,0.0846,3,0.7531812191009521,0.7537,3,0.1105584129691124,0.1516,3,0.0,0.0159,3,0.15287746489048004,3122975232.0,0.9978936910629272,0.9979,20,0.5058475136756897,0.5058,20,0.05714286118745804,0.0571,20,0.7575052380561829,0.7575,20,0.1500570923089981,0.1501,20,0.018131868913769722,0.0181,20
CiteSeer,n2v,sg,10,0.1,1.0,0.25,0.25,01-24-19h04m,37.524251222610474,519,36152.78125,748002.5,784155.25,51.3128776550293,0.9902948141098022,0.9980,3,0.3611437678337097,0.4690,3,0.0,0.0846,3,0.7461313605308533,0.7461,4,0.1105584129691124,0.1516,3,0.0,0.0159,3,0.15287746489048004,3122975232.0,0.9936819672584534,0.9937,20,0.5058475136756897,0.5058,20,0.05714286118745804,0.0571,20,0.7456531524658203,0.7457,20,0.1500570923089981,0.1501,20,0.018131868913769722,0.0181,20
CiteSeer,n2v,sg,10,0.1,1.0,0.25,0.5,01-24-18h59m,38.467634439468384,519,32197.3046875,743430.75,775628.0625,48.76481628417969,0.9984207153320312,0.9984,4,0.4884350597858429,0.4884,4,0.13406594097614288,0.1615,3,0.734650194644928,0.7474,2,0.14793352782726288,0.1521,3,0.035164836794137955,0.0352,4,0.07775348424911499,3122975232.0,0.9980636835098267,0.9981,20,0.4797351062297821,0.4797,20,0.13076923787593842,0.1308,20,0.7383947968482971,0.7384,20,0.15225636959075928,0.1523,20,0.04670329764485359,0.0467,20
CiteSeer,n2v,sg,10,0.1,1.0,0.25,0.5,01-24-19h05m,38.13212871551514,519,32197.3046875,743430.75,775628.0625,48.76481628417969,0.9994877576828003,0.9995,4,0.4884350597858429,0.4884,4,0.13406594097614288,0.1615,3,0.7287602424621582,0.7426,2,0.14793352782726288,0.1521,3,0.035164836794137955,0.0352,4,0.07775348424911499,3122975232.0,0.9989078044891357,0.9989,20,0.4797351062297821,0.4797,20,0.13076923787593842,0.1308,20,0.7352742552757263,0.7353,20,0.15225636959075928,0.1523,20,0.04670329764485359,0.0467,20
CiteSeer,n2v,sg,10,0.1,1.0,0.25,1.0,01-24-19h06m,38.087890625,519,26972.333984375,741773.125,768745.4375,54.897361755371094,0.997646689414978,0.9976,4,0.5070362687110901,0.5070,4,0.2032967060804367,0.2033,4,0.7357557415962219,0.7502,1,0.14462320506572723,0.1447,3,0.023076923564076424,0.0297,2,0.14304915070533752,3122975232.0,0.9869580268859863,0.9870,20,0.5127958059310913,0.5128,20,0.18131868541240692,0.1813,20,0.7466732263565063,0.7467,20,0.15724411606788635,0.1572,20,0.05274725705385208,0.0527,20
CiteSeer,n2v,sg,10,0.1,1.0,0.25,2.0,01-24-19h06m,37.55702233314514,519,21919.83203125,741553.0625,763472.875,53.62288284301758,0.9968607425689697,0.9984,3,0.45799288153648376,0.5023,3,0.03186813369393349,0.1615,3,0.7487438917160034,0.7487,4,0.1334296315908432,0.1449,3,0.007142857648432255,0.0577,3,0.09388796240091324,3122975232.0,0.999701976776123,0.9997,20,0.47567087411880493,0.4757,20,0.10769231617450714,0.1077,20,0.7417510747909546,0.7418,20,0.13730035722255707,0.1373,20,0.030769232660531998,0.0308,20
CiteSeer,n2v,sg,10,0.1,1.0,0.25,4.0,01-24-19h07m,36.315707206726074,519,19319.6796875,741425.375,760745.0625,50.153114318847656,0.9985986948013306,0.9993,3,0.4510565996170044,0.5295,3,0.04505494609475136,0.1121,3,0.725649893283844,0.7256,4,0.1260538101196289,0.1379,3,0.010439560748636723,0.0418,3,0.0657990574836731,3122975232.0,1.0,1.0000,20,0.5404471755027771,0.5404,20,0.2329670488834381,0.2330,20,0.7228582501411438,0.7229,20,0.15340228378772736,0.1534,20,0.05934066325426102,0.0593,20
CiteSeer,n2v,sg,10,0.1,1.0,0.5,0.25,01-24-19h00m,37.395684003829956,519,36152.78125,748002.5,784155.25,51.3128776550293,0.988919198513031,0.9949,3,0.3611437678337097,0.4690,3,0.0,0.0846,3,0.738403856754303,0.7501,2,0.1105584129691124,0.1516,3,0.0,0.0159,3,0.15287746489048004,3122975232.0,0.9974538087844849,0.9975,20,0.5058475136756897,0.5058,20,0.05714286118745804,0.0571,20,0.7484731078147888,0.7485,20,0.1500570923089981,0.1501,20,0.018131868913769722,0.0181,20
CiteSeer,n2v,sg,10,0.1,1.0,0.5,0.25,01-24-19h08m,37.52358818054199,519,36152.78125,748002.5,784155.25,51.3128776550293,0.996417760848999,0.9971,3,0.3611437678337097,0.4690,3,0.0,0.0846,3,0.742043137550354,0.7544,2,0.1105584129691124,0.1516,3,0.0,0.0159,3,0.15287746489048004,3122975232.0,0.9984933733940125,0.9985,20,0.5058475136756897,0.5058,20,0.05714286118745804,0.0571,20,0.7483034729957581,0.7483,20,0.1500570923089981,0.1501,20,0.018131868913769722,0.0181,20
CiteSeer,n2v,sg,10,0.1,1.0,0.5,0.5,01-24-19h01m,37.70798420906067,519,36152.78125,748002.5,784155.25,51.3128776550293,0.9917171597480774,0.9962,3,0.3611437678337097,0.4690,3,0.0,0.0846,3,0.7467164397239685,0.7551,2,0.1105584129691124,0.1516,3,0.0,0.0159,3,0.15287746489048004,3122975232.0,0.9955987930297852,0.9956,20,0.5058475136756897,0.5058,20,0.05714286118745804,0.0571,20,0.7521026134490967,0.7521,20,0.1500570923089981,0.1501,20,0.018131868913769722,0.0181,20
CiteSeer,n2v,sg,10,0.1,1.0,0.5,0.5,01-24-19h09m,37.5736985206604,519,36152.78125,748002.5,784155.25,51.3128776550293,0.9842730164527893,0.9949,3,0.3611437678337097,0.4690,3,0.0,0.0846,3,0.7484777569770813,0.7485,4,0.1105584129691124,0.1516,3,0.0,0.0159,3,0.15287746489048004,3122975232.0,0.9854719042778015,0.9855,20,0.5058475136756897,0.5058,20,0.05714286118745804,0.0571,20,0.7514969706535339,0.7515,20,0.1500570923089981,0.1501,20,0.018131868913769722,0.0181,20
CiteSeer,n2v,sg,10,0.1,1.0,0.5,1.0,01-24-19h10m,37.67782163619995,519,32197.3046875,743430.75,775628.0625,48.76481628417969,0.9984377026557922,0.9984,4,0.4884350597858429,0.4884,4,0.13406594097614288,0.1615,3,0.7403830885887146,0.7531,2,0.14793352782726288,0.1521,3,0.035164836794137955,0.0352,4,0.07775348424911499,3122975232.0,0.9983128309249878,0.9983,20,0.4797351062297821,0.4797,20,0.13076923787593842,0.1308,20,0.7408595085144043,0.7409,20,0.15225636959075928,0.1523,20,0.04670329764485359,0.0467,20
CiteSeer,n2v,sg,10,0.1,1.0,0.5,2.0,01-24-19h11m,38.82460570335388,519,27872.80859375,746444.3125,774317.125,61.91088104248047,0.9957583546638489,0.9965,3,0.4522852301597595,0.4948,3,0.034065935760736465,0.1044,3,0.7326347231864929,0.7345,1,0.13184569776058197,0.1438,3,0.003296703565865755,0.0231,3,0.09515702724456787,3122975232.0,0.9971560835838318,0.9972,20,0.49373409152030945,0.4937,20,0.1538461595773697,0.1538,20,0.7448787689208984,0.7449,20,0.1441875696182251,0.1442,20,0.03736263886094093,0.0374,20
CiteSeer,n2v,sg,10,0.1,1.0,0.5,4.0,01-24-19h12m,37.783037185668945,519,22426.177734375,741857.25,764283.4375,56.54538345336914,0.997626006603241,0.9976,4,0.49719369411468506,0.4972,4,0.14725275337696075,0.1473,4,0.7103126645088196,0.7140,3,0.14814606308937073,0.1481,4,0.04505494609475136,0.0451,4,0.05628220736980438,3122975232.0,0.999274730682373,0.9993,20,0.5345116257667542,0.5345,20,0.20659340918064117,0.2066,20,0.7221052050590515,0.7221,20,0.1518796980381012,0.1519,20,0.056593410670757294,0.0566,20
CiteSeer,n2v,sg,10,0.1,1.0,1.0,0.25,01-24-19h12m,37.40518760681152,519,36152.78125,748002.5,784155.25,51.3128776550293,0.9924735426902771,0.9941,3,0.3611437678337097,0.4690,3,0.0,0.0846,3,0.7392935752868652,0.7447,2,0.1105584129691124,0.1516,3,0.0,0.0159,3,0.15287746489048004,3122975232.0,0.998411238193512,0.9984,20,0.5058475136756897,0.5058,20,0.05714286118745804,0.0571,20,0.7513043880462646,0.7513,20,0.1500570923089981,0.1501,20,0.018131868913769722,0.0181,20
CiteSeer,n2v,sg,10,0.1,1.0,1.0,0.5,01-24-19h13m,37.55197215080261,519,36152.78125,748002.5,784155.25,51.3128776550293,0.9942936301231384,0.9963,3,0.3611437678337097,0.4690,3,0.0,0.0846,3,0.73833167552948,0.7415,1,0.1105584129691124,0.1516,3,0.0,0.0159,3,0.15287746489048004,3122975232.0,0.9980127811431885,0.9980,20,0.5058475136756897,0.5058,20,0.05714286118745804,0.0571,20,0.7431122660636902,0.7431,20,0.1500570923089981,0.1501,20,0.018131868913769722,0.0181,20
CiteSeer,n2v,sg,10,0.1,1.0,1.0,1.0,01-24-19h14m,37.11250019073486,519,37634.2734375,746728.375,784362.625,46.151954650878906,0.9966009855270386,0.9986,3,0.4534987509250641,0.4672,3,0.10989011824131012,0.1418,3,0.7387504577636719,0.7388,4,0.14699144661426544,0.1520,3,0.024175824597477913,0.0462,3,0.08479206264019012,3122975232.0,0.9984792470932007,0.9985,20,0.4868263006210327,0.4868,20,0.15714286267757416,0.1571,20,0.7388245463371277,0.7388,20,0.146004781126976,0.1460,20,0.03351648524403572,0.0335,20
CiteSeer,n2v,sg,10,0.1,1.0,1.0,2.0,01-24-19h15m,38.24386763572693,519,33590.88671875,742707.125,776298.0,47.239009857177734,0.9953210949897766,0.9976,3,0.5043559074401855,0.5044,4,0.12087912857532501,0.1626,3,0.7425987720489502,0.7426,4,0.14826048910617828,0.1483,4,0.041208792477846146,0.0412,4,0.08819840848445892,3122975232.0,0.9962480068206787,0.9962,20,0.5055760145187378,0.5056,20,0.10439560562372208,0.1044,20,0.7353227138519287,0.7353,20,0.1512468457221985,0.1512,20,0.02967033162713051,0.0297,20
CiteSeer,n2v,sg,10,0.1,1.0,1.0,4.0,01-24-19h16m,38.77891159057617,519,25855.185546875,740316.0,766171.1875,56.4475212097168,0.9942470192909241,0.9971,2,0.5027884840965271,0.5028,4,0.08461538702249527,0.1143,3,0.7400816082954407,0.7468,2,0.15314891934394836,0.1531,4,0.03131868317723274,0.0313,4,0.1964685320854187,3122975232.0,0.998248815536499,0.9982,20,0.5085036158561707,0.5085,20,0.20659340918064117,0.2066,20,0.7471396923065186,0.7471,20,0.15718434751033783,0.1572,20,0.04615384712815285,0.0462,20
CiteSeer,n2v,sg,10,0.1,1.0,2.0,0.25,01-24-19h16m,37.84239339828491,519,36152.78125,748002.5,784155.25,51.3128776550293,0.9913251399993896,0.9964,3,0.3611437678337097,0.4690,3,0.0,0.0846,3,0.7373315691947937,0.7450,2,0.1105584129691124,0.1516,3,0.0,0.0159,3,0.15287746489048004,3122975232.0,0.987759530544281,0.9878,20,0.5058475136756897,0.5058,20,0.05714286118745804,0.0571,20,0.7469355463981628,0.7469,20,0.1500570923089981,0.1501,20,0.018131868913769722,0.0181,20
CiteSeer,n2v,sg,10,0.1,1.0,2.0,0.5,01-24-19h17m,37.70016050338745,519,36152.78125,748002.5,784155.25,51.3128776550293,0.9904822707176208,0.9988,3,0.3611437678337097,0.4690,3,0.0,0.0846,3,0.7454658150672913,0.7503,1,0.1105584129691124,0.1516,3,0.0,0.0159,3,0.15287746489048004,3122975232.0,0.9960567951202393,0.9961,20,0.5058475136756897,0.5058,20,0.05714286118745804,0.0571,20,0.743853747844696,0.7439,20,0.1500570923089981,0.1501,20,0.018131868913769722,0.0181,20
CiteSeer,n2v,sg,10,0.1,1.0,2.0,1.0,01-24-19h18m,37.9466233253479,519,36152.78125,748002.5,784155.25,51.3128776550293,0.9901301264762878,0.9948,3,0.3611437678337097,0.4690,3,0.0,0.0846,3,0.7491294741630554,0.7570,2,0.1105584129691124,0.1516,3,0.0,0.0159,3,0.15287746489048004,3122975232.0,0.9905524849891663,0.9906,20,0.5058475136756897,0.5058,20,0.05714286118745804,0.0571,20,0.7568882703781128,0.7569,20,0.1500570923089981,0.1501,20,0.018131868913769722,0.0181,20
CiteSeer,n2v,sg,10,0.1,1.0,2.0,2.0,01-24-19h19m,38.45728421211243,519,34950.6796875,744399.625,779350.3125,52.05022430419922,0.9879559874534607,0.9936,3,0.43538349866867065,0.4829,3,0.061538465321063995,0.1868,3,0.7259596586227417,0.7444,1,0.133035346865654,0.1562,3,0.02142857201397419,0.0593,3,0.08948047459125519,3122975232.0,0.9891788363456726,0.9892,20,0.4975523054599762,0.4976,20,0.2043956071138382,0.2044,20,0.7373762726783752,0.7374,20,0.15748247504234314,0.1575,20,0.06923077255487442,0.0692,20
CiteSeer,n2v,sg,10,0.1,1.0,2.0,4.0,01-24-19h20m,37.41785287857056,519,31406.3046875,743419.0,774825.3125,49.04378128051758,0.9965204000473022,0.9965,4,0.4908633530139923,0.4909,4,0.14945055544376373,0.2308,3,0.7458415627479553,0.7458,4,0.13789573311805725,0.1499,3,0.04395604506134987,0.0978,3,0.0711669921875,3122975232.0,0.9984480738639832,0.9984,20,0.5111130475997925,0.5111,20,0.21648353338241577,0.2165,20,0.7437463402748108,0.7437,20,0.15025421977043152,0.1503,20,0.03901099041104317,0.0390,20
CiteSeer,n2v,sg,10,0.1,1.0,4.0,0.25,01-24-19h20m,37.78401017189026,519,36152.78125,748002.5,784155.25,51.3128776550293,0.9883522987365723,0.9974,3,0.3611437678337097,0.4690,3,0.0,0.0846,3,0.7370072603225708,0.7409,3,0.1105584129691124,0.1516,3,0.0,0.0159,3,0.15287746489048004,3122975232.0,0.9996410608291626,0.9996,20,0.5058475136756897,0.5058,20,0.05714286118745804,0.0571,20,0.7382262945175171,0.7382,20,0.1500570923089981,0.1501,20,0.018131868913769722,0.0181,20
CiteSeer,n2v,sg,10,0.1,1.0,4.0,0.5,01-24-19h21m,37.283859729766846,519,36152.78125,748002.5,784155.25,51.3128776550293,0.9903570413589478,0.9976,3,0.3611437678337097,0.4690,3,0.0,0.0846,3,0.7436115145683289,0.7466,2,0.1105584129691124,0.1516,3,0.0,0.0159,3,0.15287746489048004,3122975232.0,0.9964707493782043,0.9965,20,0.5058475136756897,0.5058,20,0.05714286118745804,0.0571,20,0.7462669610977173,0.7463,20,0.1500570923089981,0.1501,20,0.018131868913769722,0.0181,20
CiteSeer,n2v,sg,10,0.1,1.0,4.0,1.0,01-24-19h22m,37.136740922927856,519,36152.78125,748002.5,784155.25,51.3128776550293,0.9851968288421631,0.9984,3,0.3611437678337097,0.4690,3,0.0,0.0846,3,0.7448903322219849,0.7484,2,0.1105584129691124,0.1516,3,0.0,0.0159,3,0.15287746489048004,3122975232.0,0.9978992342948914,0.9979,20,0.5058475136756897,0.5058,20,0.05714286118745804,0.0571,20,0.7540720105171204,0.7541,20,0.1500570923089981,0.1501,20,0.018131868913769722,0.0181,20
